Page,Page Views,Unique Page Views
/search,30452796,22097355
/jobsearch,20445364,16552819
/,20396659,16334242
/vehicle-tax,20071276,15831122
/calculate-state-pension,14613827,2554347
/government/organisations/hm-revenue-customs,13917778,10616370
/government/organisations/companies-house,10357011,7972357
/check-uk-visa,8754657,2051819
/get-information-about-a-company,8594812,6757029
/student-finance-register-login,8150676,6558790
/view-driving-licence,7676841,5801338
/check-vehicle-tax,7625568,6217490
/done/vehicle-tax,7414115,6800677
/calculate-your-child-maintenance,7371271,842497
/calculate-your-holiday-entitlement,6929102,795114
/pay-dartford-crossing-charge,6909850,4919620
/contact-the-dvla,6464039,2649869
/browse/driving,5678744,4455522
/log-in-register-hmrc-online-services,5341356,4481198
/contact/govuk/anonymous-feedback/thankyou,5222296,4904163
/bank-holidays,4970408,4633522
/browse/visas-immigration,4905659,3801979
/get-vehicle-information-from-dvla,4788661,3714108
/trade-tariff (aggregated section),4536432,2611858
/government/organisations/driver-and-vehicle-licensing-agency,4318566,3515315
/overseas-passports,4046067,866911
/government/publications,3940006,1092950
/student-finance-calculator,3876816,444655
/browse/driving/driving-licences,3663504,2754845
/sold-bought-vehicle,3567547,926401
/change-driving-test,3512258,2762498
/apply-uk-visa,3505305,2526205
/state-pension-statement,3444519,1124377
/calculate-your-redundancy-pay,3433537,477138
/change-address-driving-licence,3386625,2235865
/register-to-vote,3296896,2757721
/qualify-tax-credits,3289016,565669
/browse/driving/car-tax-discs,3266166,2570016
/log-in-file-self-assessment-tax-return,3229638,2551578
/national-minimum-wage-rates,3207713,2914332
/book-theory-test,3079465,2366264
/pay-leave-for-parents,3001194,428346
/book-driving-test,2916549,2368886
/check-mot-status,2891021,2185784
/make-a-sorn,2825433,2039888
/government/organisations/hm-revenue-customs/contact/income-tax-enquiries-for-individuals-pensioners-and-employees,2787595,2206938
/browse/benefits,2758591,2207541
/apply-renew-passport,2660581,1975969
/government/organisations/hm-revenue-customs/contact,2640026,2015107
/renewtaxcredits,2626564,2042416
/foreign-travel-advice,2527584,1223285
/maternity-paternity-calculator,2511986,214811
/benefits-calculators,2481977,1923493
/tax-credits-calculator,2392314,1944311
/apply-first-provisional-driving-licence,2336508,1606161
/standard-visitor-visa,2320029,1730574
/jobseekers-allowance/how-to-claim,2316159,1626161
/government/organisations/uk-visas-and-immigration,2305052,1654420
/government/organisations/hm-revenue-customs/contact/tax-credits-enquiries,2271837,1824982
/apply-apprenticeship,2270284,1836560
/404_page,2260051,1628433
/renew-adult-passport,2189907,1659237
/contact-jobcentre-plus,2182508,1807608
/settle-in-the-uk,2127204,479957
/student-finance-forms,2054391,394752
/topic/personal-tax/self-assessment,2048318,1633045
/calculate-vehicle-tax-rates,2004803,1344243
/government/announcements,1901735,780925
/government/organisations/land-registry,1882803,1345823
/contact,1851490,1424025
/foreign-travel-advice/turkey,1798965,1514198
/am-i-getting-minimum-wage,1761515,304719
/claim-state-pension-online,1745916,316898
/renew-driving-licence,1709465,1252399
/check-if-you-need-a-tax-return,1698578,257034
/council-tax-bands,1691051,1260607
/vehicle-tax-rate-tables,1672414,1256693
/browse/abroad/passports,1645499,1249497
/student-finance,1601940,1297962
/browse/benefits/tax-credits,1571486,1190261
/apply-online-to-replace-a-driving-licence,1553751,1086046
/contact-student-finance-england,1537407,1330625
/car-tax-disc-without-v11-reminder,1530551,1213442
/apply-national-insurance-number,1514511,1176785
/file-an-annual-return-with-companies-house,1512664,1197415
/vehicles-can-drive,1500710,287497
/new-state-pension,1482762,1000487
/done/check-vehicle-tax,1481861,1345834
/get-a-passport-urgently,1467965,1133425
/send-vat-return,1461332,1118451
/self-assessment-tax-returns,1447982,1111261
